"nodeid","count"
"1f5a89c702940f1d1f2fb86195c48caf431f2a4ae18e9d6496adc09a5a9f00e0",1440
"6ca34490829fe4a2047210e215b61cb9b58a7db14f2ec7f14048d1ab9cf4efd6",1440
"369f3a693ca5836dcdf9f479bc6ab71fdd04501dac8a0c13408ec3380b4421c6",1440
"5519091b56474aed7f669516d674858ad3b0ef4437056fe53a6828e1cb659d38",1440
"708a6d08cf22b49a30bee978f237855495de8112197ec6960f8b7151faea5e39",1440
f9f9c4b8cd17c0f9ef84d5f89afdd2607a41327593b4ceef4ca7dc7266e153c7,1440
ce1ca79c3fa1f80933a778d7f1d233b186557c60fe252580edbbb67c50c9efde,1440
"58eaa6d0b0069d779cbefcd98027d83d4d81832ec6fbb03ab956e75b1a04f5db",1440
"0235d0915a1cd92e8fddce2b831588385fca52e6cd36a3cf0c7a15a5eb055cfc",1440
"47d5fd64dbcdf6c3be198d70ef29e9d59f77a64255b25a050e9936ff174c5667",1440
"89fd32cb75170e36f15c2fdf32407324a2510bae0c5bb201d4df0ad6b512e5c6",1440
"470c5034b9696586b87117ba041552fa28dd61796e225f1932ef0d33a7c34688",1440
c0afb12e111277024b602eb90bf4c6e91e123e7004f95822ec0a9558c074799c,1440
"9efbaa08a23104aa8f908b80ef6f805b4e6eaad8da7f6e16fa7586cecbdf3874",1440
d45edea8f078293be2c5cb09bf423f526a47d7e730e70657d0623c37fdb187e7,1440
"7822c73c8dc0a0487ed34e0cba207c59c14d449035124a7b48016b6418358e68",1440
"036da022c50a60993f2568deeb469e063abe37a98409fefa2b6f1895fa21814b",1440
"459fbe30c1771e97e7951dcebeb80135ac4c3de3c1ac9f9511a71eff058c2faa",1440
d9eff31556085b6f64cf383b6ce4a9ba61fb24c37754f6ea183f4644425a8604,1440
"9cff860df387d7b53c6a1fcca39da2308da66b846229c6d7ca118e98126d06b3",1440
"4932962ec20aca8ba80298fc0a47ba58453a8bb7a58c9aeb9c4fb11459efc645",1440
"4885a3f08348024509835b0722c4d19d7df3a875ba66208a4767ce32f6715487",1440
c57009c8e0ea6e8f9263ef7844be6d356c5cbe7bf0485fb8053e34b3e70bfe12,1440
"616bf473f2bab64f1ac7974adffebc95275017cdfa5fec654d6c0b354ac3c629",1440
"86fe1866be6ee58a74beac527c4428693822b0453b8cf0b8ef77b9d23044b08b",1440
"747ce7252fcd108f73762a0cac350f30b2d1708c243998293e786ed0b8cb37d5",1440
"53f224a38ee60e2863b48204313b4a4f2b1c9c4fed5195769d19a9ac997f84a2",1440
"2e66a511c2a16bfe79d0d67a172432e67a87ed35cccb623a0ccf66441b85f6ef",1440
d8d4847b03f5d5f685fc8847ce1604aebb6632ed7276b431d1e3553dcdb2de1a,1440
"6d7ed0bee39215dee82d27a77c03baeff203e6a8e993a8191cb5551138fa77bb",1440
b0b216615f57e25da66055d8631e0d38dba0829d062ba58ab128f1f3417b3920,1440
afb547e68dc691bcc84db78991d35419bb0682426808870151e54bfdb223ed45,1440
"0c70fd98468acfaa9f7ba783c8b90e038b222c48ad07ffa9e1e70f1fe16853ea",1440
"8afc8a4799e19baa7ed44f1a5826d7944138d34eb3aac4eac6d7a0d39017c74c",1440
"2be600492e4fadaa978313c8920790dc1011f48f3844efec38b193f56234fb72",1440
"401c09aaf8fe105a94dfea86094ee47f0d0dda7be527d98f97e5c623a872c0a3",1440
f81c52ee63fd6943697fd81cf764441ab132ee5b6ec93403f3c9bc21349f82c4,1440
"1a70c05a7711af11f5cf3b0060805ca59ee4042f21822febff0acfdb1f39c234",1440
"4290fedd734f9a7a34db70277dfe0a6274e76bc1b1262c274b2e65f721d9cbc5",1440
"5fc651d86959165f7fc83b5bddb8aec340d6a6485c7f33adea73b0c7d89b1d60",1440
"37327f4d73747dce10075fcd597b148234de951bece3920e39cd76b1dd51b5dc",1440
b9455312c38897d43740ad28b537148beddcc45844cb3150c3e1f3a9b42c0e63,1440
"7cfcc5d4770b1a02e34c66cc4cf364746b298b3bfab9a10d86649b8ee9fc80ff",1440
"3d5ccf1c18668ca3013fba74f9986b5ebb55d87f64854668fbe65734bd7af52d",1440
